hotel_id,name,star,score,review_count,address,scraped_at
69334856,斯维登酒店(宜宾临港大学城店),2,4.7,1230,化工路265号临港中央14幢,2026-09-14 09:06:08
12277263,宜宾宜家酒店(唐人财富中心宜宾站店),2,4.4,140,金沙江大道118号唐人财富中心6栋3层1单元2号,2026-09-14 09:06:08
81125212,李庄安石半丘塘民宿,4,4.7,202,安石村3组16号,2026-09-14 09:06:08
71980142,颐润酒店(五粮液生态园宜宾学院江北店),4,4.5,1152,旧州组团E-12-02、E-01-02地块书香府邸1栋6层,2026-09-14 09:06:08
94223814,荟庭酒店(宜宾站鲁能原著荟店),3,4.7,547,朱家坡路2号原著荟2幢14楼,2026-09-14 09:06:08
101139789,宜宾冠莺酒店(合江门大观楼店),2,4.6,1971,大南街100号,2026-09-14 09:06:08
968580,上丞酒店(宜宾大观楼合江门店),3,4.5,2123,中山街15号,2026-09-14 09:06:08
31343254,维尔家酒店(宜宾临港新天地万象汇店),3,4.6,617,临港新天地6号楼,2026-09-14 09:06:08
76154886,原著雅居酒店(宜宾站西站店),2,4.5,310,南岸西区南丝绸路公馆叁号1幢6层,2026-09-14 09:06:08
86135681,缇沃利露台酒店(大学城会展中心店),3,4.8,577,长江北路西段附二段315号西南轻工博览城1栋4层,2026-09-14 09:06:08
84015693,十玥酒店(宜宾西区原著荟店),3,4.8,1576,南岸西区原著荟3号楼14-17层,2026-09-14 09:06:08
123715592,遇见李民宿(宜宾李庄古镇店),2,4.7,499,奎星路83号,2026-09-14 09:06:08
45425122,凯悦金沙酒店(宜宾叙州政务中心店),3,4.7,781,凯悦金沙3幢1层1-50号,2026-09-14 09:06:08
134399744,宜宾莹澜酒店(宜宾西站店),2,4.7,108,星辰路8号邦泰誉江境6幢5层1号,2026-09-14 09:06:08
90136422,栖悦里·璞遇酒店(宜宾大学城智能终端产业园店),3,4.8,1006,港园路西段西南机械装备城B栋右侧1楼,2026-09-14 09:06:08
133052019,宜宾合江门长江公园美仑酒店,4,4.7,265,三江路三江口CBD·长江公馆1号楼1-1-3号,2026-09-14 09:06:08
120264657,宜宾云也(临港新天地万象汇店),2,4.3,122,龙头山路浙商临港新天地3幢1607室,2026-09-14 09:06:08
69318905,月亮半岛轻居酒店(宜宾临港国际会展中心店),3,4.6,1785,临港经开区港园路西段5号西部食品商贸城2幢,2026-09-14 09:06:08
31403002,格林东方酒店(宜宾新城市广场店),3,4.6,1039,桂园路67号,2026-09-14 09:06:08
109451888,宜宾威斯登酒店(合江门长江公园店),3,4.6,862,南岸宜庆东街9号,2026-09-14 09:06:08
2888241,宜宾翠屏山酒店,4,4.7,425,翠屏公园内翠屏山庄,2026-09-14 09:06:08
2306738,蓝湾佳美酒店(宜宾市临港第二人民医院店),3,4.7,393,下江北临港技术开发区学堂路22号,2026-09-14 09:06:08
71575902,安峪精品酒店(大观楼冠英古街店),2,4.5,812,将军街21号,2026-09-14 09:06:08
98483834,桔子酒店(宜宾西站万象天地店),3,4.7,697,金沙江南路东段辅路与大湾路交叉口西南140米芙蓉大厦1号楼,2026-09-14 09:06:08
102775383,港宿酒店(冠英古街大观楼店),2,4.1,1870,林家巷54-4号3楼,2026-09-14 09:06:08
853631,宜宾朗雅轻居酒店(万达广场长江公园店),3,4.5,434,南岸利民路15号,2026-09-14 09:06:08
110034531,港宿酒店(宜宾南岸沃尔玛店),2,4.5,436,宜庆西街109号,2026-09-14 09:06:08
111693334,宜宾圣庭酒店(长江公园水幕广场莱茵春天店),3,4.7,678,龙湾壹号7栋1层4号,2026-09-14 09:06:08
104900219,乐善影院酒店(宜宾高铁站店),3,4.8,600,南岸西区柏杨路3号1层,2026-09-14 09:06:08
8417968,宜宾•金苑|StayMellowElegantCalmWMLux酒店(翠屏区大观楼店),3,4.3,670,西郊慈善路128号,2026-09-14 09:06:08
117341467,宜宾雲缦酒店(临港中央店),2,4.7,1443,飞云路临港中央14幢14层,2026-09-14 09:06:08
80887245,云华里酒店(宜宾冠英古街东街花园店),2,4.5,2458,东街56号2幢5-8层,2026-09-14 09:06:08
74751769,十玥酒店(宜宾西站店),3,4.8,1211,南岸西区南丝绸路公馆贰号3幢12层,2026-09-14 09:06:08
76484898,安邸酒店(宜宾站宜宾天地店),2,4.7,1217,南岸西区南丝绸路公馆贰号3幢6层,2026-09-14 09:06:08
434175,南溪.锦江宾馆,4,4.7,1315,福临大道一号,2026-09-14 09:06:08
2003604,莱斯特连锁酒店(宜宾大观楼冠英古街店),2,4.5,3396,抗建路61号,2026-09-14 09:06:08
132010634,尚客优酒店(宜宾合江门大观楼店),3,4.5,359,合江门街道北庆街210号,2026-09-14 09:06:08
114255698,宜宾·希威蔓 ▎LuxuryLightCinemaFilms智慧酒店(临港新天地店),3,4.7,385,长翠路119号公园九里7幢,2026-09-14 09:06:08
110453910,宜宾阿兹博兰酒店(一曼公园店),4,4.5,377,柏溪街道城北新区仁和路鼎仁国际商贸城汽车广场1层148号,2026-09-14 09:06:08
75437567,维也纳国际酒店(宜宾东站店),3,4.7,262,港园大道西段9号,2026-09-14 09:06:08
117484660,栖樟缘特色酒店(宜宾站店),2,4.4,291,金沙江南路东段119号量点CFC16幢6层11号,2026-09-14 09:06:08
113588940,阿斯顿酒店(宜宾长江公园水幕广场莱茵春天广场店),2,4.6,769,叙府路东段2号,2026-09-14 09:06:08
13786346,月亮半岛艺术酒店(合江门第一人民医院店),2,4.7,489,文星街142号,2026-09-14 09:06:08
113534837,宜宾宜著酒店(大学城店),3,4.7,319,白沙湾街道大学路二段137号龙观嘉园12号楼1层7号,2026-09-14 09:06:08
115730368,宜宾乐季酒店(华西医院临港二医院店),2,4.7,1100,临港经开区临港大道一段31号临港客运站旅游管理综合楼17层,2026-09-14 09:06:08
121188910,宜宾外山竹月民宿,4,4.7,92,高桥村三组84号,2026-09-14 09:06:08
71638016,云华里酒店(宜宾站店),2,4.5,1699,南岸西区南丝绸路公馆贰号2幢7层,2026-09-14 09:06:08
8497268,付源商务酒店(合江门冠英古街店),2,4.1,125,上北街36号,2026-09-14 09:06:08
101208223,麗枫酒店(宜宾叙州政务中心一曼公园店),3,4.6,922,荣利泰大厦1幢1层,2026-09-14 09:06:08
135529116,汉庭酒店(宜宾翠屏流杯池公园店),2,5.0,33,安阜街道岷江东路五新起步广场12栋1楼,2026-09-14 09:06:08
101918977,瑭枫酒店(临港大学城紫金广场店),2,4.8,121,临港经开区紫金城A地块1幢1单元5层18号,2026-09-14 09:06:08
78879885,宜宾DuoMi·多米城市酒店(唐人财富中心店),2,4.6,139,财富街31号唐人财富中心4栋8层,2026-09-14 09:06:08
84074921,维也纳酒店(宜宾临港二医院店),3,4.5,983,临港经开区白沙组团川-B-1地块太阳岛37幢1至4层,2026-09-14 09:06:08
134348176,宜宾美璟酒店(宜宾西站宜宾站店),3,4.6,107,星辰路8号邦泰誉江境6幢105号,2026-09-14 09:06:08
105423457,锤锤电竞酒店(宜宾站店),2,4.5,229,量典CFC16栋4层,2026-09-14 09:06:08
2299390,都市118连锁酒店(宜宾冠英古街大观楼店),2,4.6,197,柑子园街29号,2026-09-14 09:06:08
70492345,莫尔纳酒店(宜宾大学城会展中心店),3,4.8,587,长江北路西段附二段315号西南轻工博览城25栋一层127-128号,2026-09-14 09:06:08
135712067,亦安·小舍,0,,28,临港经开区峥嵘路SC-F-03-02地块大学府翰林院10幢2层2号,2026-09-14 09:06:08
53950985,宜宾首座酒店(金江广场店),2,4.3,153,柏溪镇江霞路金沙首座B区1幢,2026-09-14 09:06:08
4828086,九天快捷酒店(宜宾大观楼店),2,4.1,133,民生街50号,2026-09-14 09:06:08
98062742,柏曼酒店(宜宾大观楼冠英古街店),3,4.6,370,马掌街20号新楼第一层,2026-09-14 09:06:08
1993391,宜宾豪廷酒店(五粮液生态园宜宾学院江北店),3,4.4,157,尚美路48号,2026-09-14 09:06:08
